i,v1,v2lin,v3
1591,25,0,1
1592,6,16,2
1593,7,13,2
1594,1,15,3
1595,19,19,0
1596,6,31,0
1597,20,14,1
1598,15,2,2
1599,15,8,2
1600,21,7,1
1601,24,5,1
1602,16,1,2
1603,15,5,2
1604,1,24,2
1605,6,15,2
1606,2,36,0
1607,1,5,4
1608,21,8,1
1609,2,31,1
1610,9,29,0
1611,16,15,1
1612,4,9,3
1613,29,10,0
1614,10,12,2
1615,15,10,2
1616,30,5,0
1617,0,6,4
1618,22,13,0
1619,2,23,2
1620,8,12,2
1621,26,12,0
1622,15,3,2
1623,7,4,3
1624,10,22,2
1625,14,26,0
1626,9,0,3
1627,6,20,2
1628,12,19,1
1629,2,2,4
1630,8,24,1
1631,18,20,0
1632,14,7,2
1633,0,18,3
1634,3,11,3
1635,6,24,2
1636,13,9,2
1637,19,16,1
1638,0,32,1
1639,25,2,1
1640,18,17,1
1641,6,6,3
1642,1,4,4
1643,22,7,1
1644,5,34,0
1645,11,14,2
1646,13,18,1
1647,4,18,2
1648,13,20,1
1649,7,25,1
1650,7,14,2
1651,26,24,0
1652,24,2,1
1653,11,11,2
1654,14,4,2
